id,session,timestamp,dst_ip,dst_port
179,5c9b5501da68,2022-11-18T17:17:14.565706Z,142.250.74.78,80
180,5c9b5501da68,2022-11-18T17:17:14.723865Z,2a00:1450:400f:802::200e,80
181,5c9b5501da68,2022-11-18T17:17:14.879135Z,98.137.11.163,80
182,5c9b5501da68,2022-11-18T17:17:15.040010Z,2001:4998:124:1507::f001,80
183,5c9b5501da68,2022-11-18T17:17:15.199360Z,77.88.55.66,80
184,5c9b5501da68,2022-11-18T17:17:15.355376Z,2a00:1450:400f:802::200e,80
185,241b323b8307,2022-11-18T18:02:16.069591Z,216.58.211.14,80
186,241b323b8307,2022-11-18T18:02:16.235537Z,2a00:1450:400f:80d::200e,80
187,241b323b8307,2022-11-18T18:02:16.414164Z,98.137.11.163,80
188,241b323b8307,2022-11-18T18:02:16.593459Z,2001:4998:24:120d::1:1,80
189,241b323b8307,2022-11-18T18:02:16.773577Z,77.88.55.66,80
190,241b323b8307,2022-11-18T18:02:16.951364Z,2001:4998:44:3507::8001,80
191,56aeb2ec9b0a,2022-11-18T20:32:42.627111Z,216.58.211.14,80
192,56aeb2ec9b0a,2022-11-18T20:32:42.806411Z,2a00:1450:400f:80d::200e,80
193,56aeb2ec9b0a,2022-11-18T20:32:42.985602Z,74.6.143.26,80
194,56aeb2ec9b0a,2022-11-18T20:32:43.374099Z,2001:4998:44:3507::8001,80
195,56aeb2ec9b0a,2022-11-18T20:32:43.548465Z,5.255.255.50,80
196,56aeb2ec9b0a,2022-11-18T20:32:43.722015Z,2a02:6b8:a::a,80
197,c428ee02fe2d,2022-11-18T22:46:29.245083Z,142.250.74.78,80
198,c428ee02fe2d,2022-11-18T22:46:29.402641Z,2a00:1450:400f:802::200e,80
199,c428ee02fe2d,2022-11-18T22:46:29.558344Z,74.6.143.25,80
200,c428ee02fe2d,2022-11-18T22:46:29.714545Z,2001:4998:124:1507::f000,80
201,c428ee02fe2d,2022-11-18T22:46:29.866837Z,74.6.143.25,80
202,c428ee02fe2d,2022-11-18T22:46:30.022857Z,2001:4998:124:1507::f000,80
203,075e02e83c65,2022-11-18T23:52:16.897602Z,142.250.74.78,80
204,075e02e83c65,2022-11-18T23:52:17.050780Z,2a00:1450:400f:802::200e,80
205,075e02e83c65,2022-11-18T23:52:17.207455Z,74.6.231.20,80
206,075e02e83c65,2022-11-18T23:52:17.362669Z,2001:4998:24:120d::1:0,80
207,075e02e83c65,2022-11-18T23:52:17.519134Z,98.137.11.164,80
208,075e02e83c65,2022-11-18T23:52:17.674761Z,2001:4998:24:120d::1:0,80
209,e7ecff4aced6,2022-11-18T23:52:32.565904Z,216.58.211.14,80
210,e7ecff4aced6,2022-11-18T23:52:32.729975Z,2a00:1450:400f:80d::200e,80
211,e7ecff4aced6,2022-11-18T23:52:32.893750Z,98.137.11.164,80
212,e7ecff4aced6,2022-11-18T23:52:33.058082Z,2001:4998:124:1507::f001,80
213,e7ecff4aced6,2022-11-18T23:52:33.225763Z,74.6.143.26,80
214,e7ecff4aced6,2022-11-18T23:52:33.389757Z,2001:4998:124:1507::f000,80
215,e19694c137b2,2022-11-19T00:38:21.543837Z,216.58.211.14,80
216,e19694c137b2,2022-11-19T00:38:21.711274Z,2a00:1450:400f:80d::200e,80
217,e19694c137b2,2022-11-19T00:38:21.879361Z,216.58.211.14,80
218,e19694c137b2,2022-11-19T00:38:22.047442Z,2001:4998:24:120d::1:1,80
219,e19694c137b2,2022-11-19T00:38:22.215281Z,98.137.11.164,80
220,e19694c137b2,2022-11-19T00:38:22.387930Z,2a00:1450:400f:80d::200e,80
221,5b18098944d6,2022-11-19T00:59:39.470246Z,142.250.74.78,80
222,5b18098944d6,2022-11-19T00:59:39.626764Z,2a00:1450:400f:802::200e,80
223,5b18098944d6,2022-11-19T00:59:39.787218Z,98.137.11.163,80
224,5b18098944d6,2022-11-19T00:59:39.943553Z,2001:4998:124:1507::f001,80
225,5b18098944d6,2022-11-19T00:59:40.098993Z,74.6.143.25,80
226,5b18098944d6,2022-11-19T00:59:40.255539Z,2001:4998:124:1507::f000,80
227,f57f4d3db0bf,2022-11-19T01:04:15.740839Z,142.250.74.78,80
228,f57f4d3db0bf,2022-11-19T01:04:15.893925Z,2a00:1450:400f:802::200e,80
229,f57f4d3db0bf,2022-11-19T01:04:16.050196Z,98.137.11.164,80
230,f57f4d3db0bf,2022-11-19T01:04:16.206439Z,2001:4998:124:1507::f001,80
231,f57f4d3db0bf,2022-11-19T01:04:16.362760Z,74.6.231.21,80
232,f57f4d3db0bf,2022-11-19T01:04:16.518728Z,2001:4998:44:3507::8000,80
233,3666d23bfd9b,2022-11-19T02:56:15.763741Z,216.58.211.14,80
234,3666d23bfd9b,2022-11-19T02:56:15.930377Z,2a00:1450:400f:80d::200e,80
235,3666d23bfd9b,2022-11-19T02:56:16.093828Z,98.137.11.164,80
236,3666d23bfd9b,2022-11-19T02:56:16.257736Z,2001:4998:24:120d::1:0,80
237,3666d23bfd9b,2022-11-19T02:56:16.421941Z,98.137.11.164,80
238,3666d23bfd9b,2022-11-19T02:56:16.586860Z,2001:4998:124:1507::f000,80
239,52fb2c5e25ca,2022-11-19T03:34:13.214005Z,216.58.211.14,80
240,52fb2c5e25ca,2022-11-19T03:34:13.382097Z,2a00:1450:400f:80d::200e,80
241,52fb2c5e25ca,2022-11-19T03:34:13.545645Z,98.137.11.164,80
242,52fb2c5e25ca,2022-11-19T03:34:13.710159Z,2001:4998:24:120d::1:1,80
243,52fb2c5e25ca,2022-11-19T03:34:13.874281Z,77.88.55.80,80
244,52fb2c5e25ca,2022-11-19T03:34:14.037636Z,2001:4998:124:1507::f000,80
245,395965c5bffc,2022-11-19T05:54:58.112941Z,142.250.74.78,80
